h5.lex.lenovo.com.cn          		60.205.236.78
data.lenovo.com.cn            		223.202.62.234
public.lenovo.com.cn          		61.147.84.44
item.lenovo.com.cn            	item.lenovo.com.cn.wswebcdn.com.	157.185.145.134
edu.lenovo.com.cn             		43.255.224.219
www.lenovo.com.cn             	www.lenovo.com.cn.lxdns.com., lenovostore.attack.oursec1.com.	220.242.15.24
tst-crmcn.lenovo.com.cn
lbs.lenovo.com.cn             		39.96.9.231
smartdl.lenovo.com.cn         	smartdl.lenovo.com.cn.qiniudns.com., lenovtiny.china.line.qiniudns.com., chinacdnweb.channel.qiniu.com.w.alikunlun.com.	222.186.149.223, 222.186.149.222
b2b.lenovo.com.cn             	b2b.lenovo.com.cn.w.alikunlun.com.	47.246.23.229, 47.246.23.234, 47.246.23.233, 47.246.23.227, 47.246.23.230, 47.246.23.231, 47.246.23.228, 47.246.23.232
ips.lenovo.com.cn             	serviceshop.f5.lenovo.com.cn.	124.127.169.214
log.lenovo.com.cn             		114.247.140.190, 124.127.169.190
pub.lenovo.com.cn
robotbd.lenovo.com.cn         	robotbd.f5.lenovo.com.cn.	124.127.169.224
mystatic.lenovo.com.cn        	mystatic.lenovo.com.cn.qiniudns.com., lenovtiny.china.line.qiniudns.com., chinacdnweb.channel.qiniu.com.w.alikunlun.com.	222.186.149.223, 222.186.149.222
nba.lenovo.com.cn
go.lenovo.com.cn              	pcsdgslb1.lenovo.com.cn.	60.205.234.210
ldc.lenovo.com.cn             		60.205.234.210
vipcenter.lenovo.com.cn
consumerdl.lenovo.com.cn
smarttv.f5.lenovo.com.cn
img0.cdn.clubjs.lenovo.com.cn 	img0.cdn.clubjs.lenovo.com.cn.cdn20.com.	157.185.169.206
mitem.lenovo.com.cn           	mitem.lenovo.com.cn.wswebcdn.com.	157.185.145.134
spm.lenovo.com.cn
pcsdshop.lenovo.com.cn        		60.205.234.210
scanadmin.lenovo.com.cn       	scanadmin.f5.lenovo.com.cn.	124.127.169.195
kas.lenovo.com.cn             	serviceshop.f5.lenovo.com.cn.	124.127.169.214
news.lenovo.com.cn            	news.lenovo.com.cn.wswebcdn.com., lenovostore.attack.oursec1.com.	220.242.15.24
support5.lenovo.com.cn        	support.f5.lenovo.com.cn.	124.127.169.212
lcse.lenovo.com.cn            	lcse.f5.lenovo.com.cn.	124.127.169.205
chatapp.lenovo.com.cn         	chatapp.f5.lenovo.com.cn.	124.127.169.171
search.lcf5.lenovo.com.cn
shop.lenovo.com.cn            	shop.lenovo.com.cn.wscdns.com., lenovostore.attack.oursec1.com.	220.242.15.24
dsp.lenovo.com.cn             		182.92.244.228
tsonline.lenovo.com.cn        	tsonline.f5.lenovo.com.cn.	124.127.169.226
appserver.lcf5.lenovo.com.cn
jyhshop.lenovo.com.cn         		118.145.19.132
tms.lenovo.com.cn             	shop.f5.lenovo.com.cn.	124.127.169.137
motolive.club.lenovo.com.cn
its.lenovo.com.cn             	support.f5.lenovo.com.cn.	124.127.169.212
lenovobbs.lenovo.com.cn
product.lenovo.com.cn
recruitment.lenovo.com.cn
tv.lenovo.com.cn              		47.95.170.121
ssm-static.gcc.lenovo.com.cn  	ssm-static.gcc.lenovo.com.cn.w.kunlungr.com.	58.218.208.15
support.lcf5.lenovo.com.cn
op.lenovo.com.cn              	pcsdgslb1.lenovo.com.cn.	60.205.234.210
p.lenovo.com.cn               	shop.f5.lenovo.com.cn.	124.127.169.137
education.lenovo.com.cn       		60.205.234.210
zhongce.lenovo.com.cn         	pcsdgslb1.lenovo.com.cn.	60.205.234.210
pccss1.clubstatic.lenovo.com.cn	pccss1.clubstatic.lenovo.com.cn.wswebcdn.com.	157.185.145.162
i.17.lenovo.com.cn            	17jf.f5.lenovo.com.cn.	106.38.19.26
sentry.lenovo.com.cn          		43.255.224.224
365.lenovo.com.cn             	365.f5.lenovo.com.cn.	124.127.169.23
rell3project.lenovo.com.cn    		43.255.224.42
